Run,Hexacontroller,PRBS_data_eTx0,PRBS_data_eTx1,PRBS_data_eTx2,PRBS_data_eTx3,PRBS_data_eTx4,PRBS_data_eTx5,BitDiff_eRx0,BitDiff_eRx1,BitDiff_eRx2,BitDiff_eRx3,BitDiff_eRx4,BitDiff_eRx5,nBitsDiff
17_PRBS,43,11010100111110100001110001001001,11010100111110100001110001001001,11010000111110100001110001001001,11010100111110100001110001001001,11010100111110100001110001001001,11010100111110100001110001001001,00000000000000000000000000000000,00000000000000000000000000000000,00000100000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,10001101001011101110011001010101,10001101001011101110011001010101,10001101001011101110011001010101,10001101001011101110011001010101,10001101001111101110011001010101,10001101001011101110011001010101,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000100000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,00011110010001011001110101000111,00011110010001011001110101001111,00011110010001011001110101001111,00011110010001011001110101001111,00011110010001011001110101001111,00011110010001011001110101001111,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001111001000,00001000001100001010001111001010,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000010,1
17_PRBS,43,01101101011011110110001101001011,01101101011011110100001101001011,01101101011011110110001101001011,01101101011011110110001101001011,01101101011011110110001101001011,01101101011011110110001101001011,00000000000000000000000000000000,00000000000000000010000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,11101110011001010101111111000000,11101110011001010101111111000000,11101110011001010101111111000000,11101110011001010101111111000000,11101110011001010101111101000000,11101110011001010101111111000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000010000000,00000000000000000000000000000000,1
17_PRBS,43,00010010011011010110111101100011,00010010011011010110101101100011,00010010011011010110111101100011,00010010011011010110111101100011,00010010011011010110111101100011,00010010011011010110111101100011,00000000000000000000000000000000,00000000000000000000010000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,10100001110001001001101101011010,10100001110001001001101101011011,10100001110001001001101101011011,10100001110001001001101101011011,10100001110001001001101101011011,10100001110001001001101101011011,00000000000000000000000000000001,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
17_PRBS,43,10011011010110111101100111010010,10011011010110111101100011010010,10011011010110111101100011010010,10011011010110111101100011010010,10011011010110111101100011010010,10011011010110111101100011010010,00000000000000000000000100000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
18_PRBS,43,10011101010011111010000011000100,10011101010011111010000111000100,10011101010011111010000111000100,10011101010011111010000111000100,10011101010011111010000111000100,10011101010011111010000111000100,00000000000000000000000100000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,1
